"p_val"	"avg_log2FC"	"pct.1"	"pct.2"	"p_val_adj"	"cluster"	"gene"
"SPATS2L"	2.72092294507092e-264	1.28564556833113	0.717	0.234	6.45974316389287e-260	"Fibroblasts"	"SPATS2L"
"RBMS3"	3.11229283731701e-262	1.34469910152255	0.634	0.077	7.38889442507431e-258	"Fibroblasts"	"RBMS3"
"ZNF521"	2.96217659601646e-261	1.48008769938821	0.761	0.111	7.03250345660268e-257	"Fibroblasts"	"ZNF521"
"MAST4.2"	2.88913768276139e-260	-1.57102105826376	0.527	0.774	6.85910177264382e-256	"Fibroblasts"	"MAST4"
"CYP7B1"	2.48114114806429e-259	1.53170799078165	0.597	0.107	5.89047719961943e-255	"Fibroblasts"	"CYP7B1"
"SORCS2"	6.10735082431071e-259	1.43094448053552	0.56	0.05	1.44994615919961e-254	"Fibroblasts"	"SORCS2"
"WWP1.1"	1.98965853936483e-256	-1.33573041845319	0.439	0.755	4.72364833830605e-252	"Fibroblasts"	"WWP1"
"SHROOM3.2"	3.32439245263047e-254	-1.51662122775973	0.161	0.647	7.89244012179001e-250	"Fibroblasts"	"SHROOM3"
"SPON1"	8.46741322167859e-254	1.47560630101853	0.546	0.049	2.01024857295871e-249	"Fibroblasts"	"SPON1"
"GALNT6.1"	6.28346377259759e-252	-1.37852171706688	0.095	0.547	1.49175713425239e-247	"Fibroblasts"	"GALNT6"
"PHLDB1"	6.75048050085495e-250	1.15779278439934	0.675	0.162	1.60263157570797e-245	"Fibroblasts"	"PHLDB1"
"ICA1.1"	1.54275433943793e-249	-1.27436458717013	0.074	0.579	3.66265307725959e-245	"Fibroblasts"	"ICA1"
"TPD52.1"	4.77076757759984e-246	-1.40480039819026	0.088	0.534	1.13262793059798e-241	"Fibroblasts"	"TPD52"
"RUNX1.1"	2.578955544071e-242	1.62207868184002	0.873	0.663	6.12269835717895e-238	"Fibroblasts"	"RUNX1"
"STRBP.1"	2.31937972678501e-241	-1.15355613997862	0.175	0.633	5.5064394093603e-237	"Fibroblasts"	"STRBP"
"CRISPLD2"	3.55076488448889e-240	1.53944441356656	0.505	0.072	8.42987091226508e-236	"Fibroblasts"	"CRISPLD2"
"SLIT3"	4.74751812150991e-239	1.73136339171025	0.693	0.141	1.12710827722767e-234	"Fibroblasts"	"SLIT3"
"CA12.1"	1.23753708279844e-238	-1.35135263071634	0.185	0.586	2.93803678827177e-234	"Fibroblasts"	"CA12"
"DDR2"	6.15448725954888e-236	1.07387449220411	0.626	0.13	1.4611368202895e-231	"Fibroblasts"	"DDR2"
"NTN4.2"	2.64388753799499e-234	-1.69512952512536	0.239	0.598	6.27685340395391e-230	"Fibroblasts"	"NTN4"
"TIMP3"	2.83646536123308e-234	2.26994425181815	0.606	0.192	6.73405241410345e-230	"Fibroblasts"	"TIMP3"
"SULF1"	1.26914966536252e-233	2.23678448665651	0.757	0.264	3.01308822053715e-229	"Fibroblasts"	"SULF1"
"ANK3.1"	2.23228769545725e-233	-1.62877328924617	0.188	0.628	5.29967421778505e-229	"Fibroblasts"	"ANK3"
"CCSER1.2"	2.43581147598192e-233	-1.73573495315986	0.151	0.538	5.78286002512868e-229	"Fibroblasts"	"CCSER1"
"LAMA4"	3.02025278557311e-232	1.34797050703365	0.696	0.073	7.17038213822913e-228	"Fibroblasts"	"LAMA4"
"MAGI1.1"	1.76868503173254e-231	-1.5639667042203	0.546	0.829	4.19903513383623e-227	"Fibroblasts"	"MAGI1"
"MAP4K4.1"	4.06160654632713e-231	1.27759904559051	0.795	0.342	9.64266010163523e-227	"Fibroblasts"	"MAP4K4"
"MSRB3"	8.85359951725219e-229	1.2892268870464	0.651	0.094	2.10193306139084e-224	"Fibroblasts"	"MSRB3"
"FSTL1"	1.16443026590513e-228	1.20660828279032	0.559	0.071	2.76447389428538e-224	"Fibroblasts"	"FSTL1"
"COL16A1"	1.99400228451127e-228	1.08201817524426	0.576	0.115	4.73396082365821e-224	"Fibroblasts"	"COL16A1"
"FOXP2"	2.36335891800769e-226	1.24183221171279	0.551	0.055	5.61085040724206e-222	"Fibroblasts"	"FOXP2"
"ARFGEF3.1"	4.38133587930813e-225	-1.15994893156143	0.096	0.544	1.04017295110654e-220	"Fibroblasts"	"ARFGEF3"
"NAV3.1"	4.45186339629251e-225	1.57786696390921	0.887	0.449	1.0569168889138e-220	"Fibroblasts"	"NAV3"
"ADD3"	1.64601766960649e-223	1.06660015080047	0.626	0.178	3.90781054941276e-219	"Fibroblasts"	"ADD3"
"SIDT1.1"	2.10311049026236e-222	-1.22062428305498	0.054	0.515	4.99299461493186e-218	"Fibroblasts"	"SIDT1"
"NTM"	1.11311355984867e-221	1.64239358626333	0.509	0.072	2.64264290243672e-217	"Fibroblasts"	"NTM"
"ARHGAP21.1"	5.40028007442515e-221	1.0650797697876	0.762	0.337	1.28208049246927e-216	"Fibroblasts"	"ARHGAP21"
"PVT1.1"	5.96300656556195e-221	-1.37636963131044	0.414	0.767	1.41567738873006e-216	"Fibroblasts"	"PVT1"
"LRBA.1"	6.65975646647848e-221	-1.24474221397505	0.667	0.881	1.58109278270666e-216	"Fibroblasts"	"LRBA"
"UACA.1"	1.80513254294405e-220	1.1555964573982	0.719	0.269	4.28556517020347e-216	"Fibroblasts"	"UACA"
"SYNE1.1"	1.20271393259117e-219	1.20343707158414	0.73	0.219	2.85536314736469e-215	"Fibroblasts"	"SYNE1"
"CELSR1.1"	4.87996403645232e-219	-1.14478128793538	0.169	0.582	1.15855226189414e-214	"Fibroblasts"	"CELSR1"
"MEIS1"	6.94373032964102e-219	1.11804806434869	0.573	0.153	1.64851101756007e-214	"Fibroblasts"	"MEIS1"
"PDZRN3.1"	3.85998839019592e-218	1.60478940857811	0.86	0.375	9.16399843716413e-214	"Fibroblasts"	"PDZRN3"
"ST5"	4.57113425588767e-218	1.21501059190737	0.763	0.298	1.08523298369029e-213	"Fibroblasts"	"ST5"
"TPST1"	1.48455052548314e-216	1.11609394828887	0.674	0.265	3.52447140254953e-212	"Fibroblasts"	"TPST1"
"TSHZ2.2"	1.250078914041e-215	2.09703374412937	0.826	0.218	2.96781234982474e-211	"Fibroblasts"	"TSHZ2"
"KRT19.2"	7.19032885494845e-215	-1.39036345522728	0.306	0.638	1.70705597345331e-210	"Fibroblasts"	"KRT19"
"MIR29B2CHG.1"	2.08124340930197e-214	-1.12763991776677	0.202	0.637	4.9410799780238e-210	"Fibroblasts"	"MIR29B2CHG"
"PDGFRB"	2.44479968365005e-214	1.12976466490127	0.567	0.033	5.80419892895358e-210	"Fibroblasts"	"PDGFRB"
"DENND1B.2"	1.94269328833926e-213	-1.42361351938423	0.389	0.644	4.61214813584623e-209	"Fibroblasts"	"DENND1B"
"MRTFB.1"	4.54438013490276e-213	-1.17646765905027	0.433	0.763	1.07888128782726e-208	"Fibroblasts"	"MRTFB"
"WIPF1.1"	8.22098145219739e-213	1.09972020397834	0.67	0.151	1.95174320656618e-208	"Fibroblasts"	"WIPF1"
"ADAMTS6"	1.95632587670185e-211	2.03042016438776	0.506	0.074	4.64451326387787e-207	"Fibroblasts"	"ADAMTS6"
"MYO5C.1"	2.22843705279968e-211	-1.09962181372018	0.056	0.545	5.29053240705172e-207	"Fibroblasts"	"MYO5C"
"BACH2"	1.0317071969813e-205	1.14120415115861	0.54	0.091	2.4493760563533e-201	"Fibroblasts"	"BACH2"
"CYTH3"	1.98789616429578e-203	1.10667200110875	0.618	0.164	4.71946428365461e-199	"Fibroblasts"	"CYTH3"
"GULP1"	2.69517965310336e-203	1.1239776727112	0.557	0.077	6.39862601443269e-199	"Fibroblasts"	"GULP1"
"AZGP1.1"	2.20316086162405e-202	-1.28179242050345	0.268	0.616	5.23052420158165e-198	"Fibroblasts"	"AZGP1"
"MAP3K1.1"	1.44594893547511e-201	-1.11465165636667	0.186	0.59	3.43282736771146e-197	"Fibroblasts"	"MAP3K1"
"ST6GAL1"	4.58211327770167e-197	-1.33104206460103	0.113	0.512	1.08783951325915e-192	"Fibroblasts"	"ST6GAL1"
"TSHZ3"	3.00945765072415e-196	0.991826437064004	0.516	0.07	7.14475340858419e-192	"Fibroblasts"	"TSHZ3"
"KDM4B.1"	1.1220960690562e-193	-1.13352473509727	0.525	0.719	2.66396827754631e-189	"Fibroblasts"	"KDM4B"
"PTPRG.1"	8.00209577529366e-192	1.59929983015943	0.923	0.413	1.89977755801247e-187	"Fibroblasts"	"PTPRG"
"SLC38A1.2"	9.01746222595848e-192	-1.04875140285103	0.14	0.532	2.1408357070648e-187	"Fibroblasts"	"SLC38A1"
"NCKAP5.1"	5.10600821600548e-190	-1.41057686120473	0.231	0.621	1.21221741056186e-185	"Fibroblasts"	"NCKAP5"
"TRAPPC9.1"	9.38436327272796e-190	-1.04211543591822	0.469	0.782	2.22794168457835e-185	"Fibroblasts"	"TRAPPC9"
"MAP7.1"	2.31934458691304e-189	-1.10948998400784	0.131	0.557	5.50635598379025e-185	"Fibroblasts"	"MAP7"
"BMPR1B.2"	4.46255606301422e-189	-1.9047225838651	0.547	0.594	1.05945543492021e-184	"Fibroblasts"	"BMPR1B"
"UST"	1.05431181778244e-187	0.988060263384477	0.567	0.169	2.5030416865973e-183	"Fibroblasts"	"UST"
"CDH1.1"	2.29402893694999e-187	-1.02746836677959	0.085	0.508	5.44625409921297e-183	"Fibroblasts"	"CDH1"
"MAGI3.1"	3.53401804851108e-187	-1.21467143499808	0.524	0.731	8.39011224897014e-183	"Fibroblasts"	"MAGI3"
"FLRT2"	5.69050540249027e-186	1.31303800487924	0.511	0.051	1.35098288760521e-181	"Fibroblasts"	"FLRT2"
"CEP112"	3.5064467971881e-185	1.05465759603177	0.659	0.148	8.32465534120427e-181	"Fibroblasts"	"CEP112"
"IGFBP7"	2.27531688985329e-184	1.57948817265493	0.691	0.138	5.4018298282007e-180	"Fibroblasts"	"IGFBP7"
"PPFIBP1.1"	2.32390869521422e-183	1.15182863705266	0.824	0.472	5.51719163330808e-179	"Fibroblasts"	"PPFIBP1"
"LLGL2.1"	8.5998197330458e-183	-0.96409243091667	0.056	0.504	2.0416832028224e-178	"Fibroblasts"	"LLGL2"
"LDLRAD3.1"	2.75672159805261e-182	-1.25620134096395	0.333	0.657	6.54473274593669e-178	"Fibroblasts"	"LDLRAD3"
"FAM49B"	1.49731038136237e-180	-1.07087886666978	0.366	0.713	3.55476457639241e-176	"Fibroblasts"	"FAM49B"
"ZMYND8.1"	1.57597849442855e-177	-1.00643276809154	0.377	0.698	3.74153054362283e-173	"Fibroblasts"	"ZMYND8"
"GLIS3"	3.30582424994949e-176	1.61155599463567	0.701	0.217	7.84835735180508e-172	"Fibroblasts"	"GLIS3"
"CHST11.1"	3.79294373036382e-176	1.51319901882251	0.79	0.199	9.00482771025674e-172	"Fibroblasts"	"CHST11"
"SYTL2.1"	9.69931104155637e-176	-1.32711695725612	0.322	0.611	2.3027134343759e-171	"Fibroblasts"	"SYTL2"
"EGFR"	1.01457065410492e-175	1.0840980951925	0.537	0.071	2.40869218991049e-171	"Fibroblasts"	"EGFR"
"KIRREL1"	1.58044881054516e-175	0.914349853094527	0.54	0.075	3.75214352111526e-171	"Fibroblasts"	"KIRREL1"
"DNM1"	9.77029034398865e-175	0.840744036093889	0.59	0.164	2.31956463056635e-170	"Fibroblasts"	"DNM1"
"KIAA1671"	1.22862096596399e-173	-0.924622763676183	0.1	0.516	2.91686903529512e-169	"Fibroblasts"	"KIAA1671"
"LHFPL6"	3.47244683624701e-172	1.41138004567404	0.618	0.116	8.24393603393402e-168	"Fibroblasts"	"LHFPL6"
"PLEKHA7.1"	3.11557676371304e-171	-1.00824785000479	0.285	0.645	7.39669079473113e-167	"Fibroblasts"	"PLEKHA7"
"XYLT1"	7.50729526024505e-169	1.24913516807833	0.657	0.215	1.78230696773478e-164	"Fibroblasts"	"XYLT1"
"INPP4B.2"	2.12955895786594e-168	-1.36981873630874	0.373	0.661	5.05578592186953e-164	"Fibroblasts"	"INPP4B"
"TENM3"	2.60242822556218e-168	1.41264481390435	0.604	0.125	6.17842485030717e-164	"Fibroblasts"	"TENM3"
"AR.1"	4.17149830051363e-166	-1.06901501905507	0.256	0.566	9.90355411524942e-162	"Fibroblasts"	"AR"
"PDLIM7"	9.31318677034032e-165	0.844723282665685	0.505	0.105	2.2110436711465e-160	"Fibroblasts"	"PDLIM7"
"TTC28.1"	5.94896700288263e-164	1.07989034599968	0.86	0.509	1.41234425615437e-159	"Fibroblasts"	"TTC28"
"RABEP1.1"	1.50849385966112e-163	-1.02412812982042	0.471	0.73	3.58131527222146e-159	"Fibroblasts"	"RABEP1"
"GALNT7.1"	3.96049230592056e-162	-1.16665895354057	0.39	0.671	9.40260478348601e-158	"Fibroblasts"	"GALNT7"
"TLN2"	1.28647159348699e-161	1.15336053876158	0.728	0.384	3.05421221009746e-157	"Fibroblasts"	"TLN2"
"DTNB.1"	5.80882685025066e-161	-1.02276185472232	0.25	0.631	1.37907358251801e-156	"Fibroblasts"	"DTNB"
"BICD1.1"	9.31792893795595e-161	1.11676867692584	0.666	0.255	2.21216950916012e-156	"Fibroblasts"	"BICD1"
"NFIA.1"	1.88468873389722e-160	-1.25696343415437	0.599	0.858	4.47443952314539e-156	"Fibroblasts"	"NFIA"
"CERS4.1"	3.51961593274632e-158	-1.02166982056488	0.208	0.514	8.35592018593303e-154	"Fibroblasts"	"CERS4"
"LPAR1"	1.28717227393598e-155	0.982867756550963	0.629	0.242	3.05587569555142e-151	"Fibroblasts"	"LPAR1"
"CRNDE.1"	1.56971439847857e-155	-0.97261818572215	0.227	0.517	3.72665895342797e-151	"Fibroblasts"	"CRNDE"
"HOOK2.1"	5.05498996709097e-155	-0.818691660791683	0.215	0.548	1.20010516808707e-150	"Fibroblasts"	"HOOK2"
"CLMN.1"	9.14017566154777e-155	-0.997490160059655	0.121	0.514	2.16996910380806e-150	"Fibroblasts"	"CLMN"
"CASC15.2"	7.57333328874258e-154	1.35088852933836	0.808	0.342	1.79798505608038e-149	"Fibroblasts"	"CASC15"
"SIPA1L3.1"	1.47130148236088e-153	-1.04912665464176	0.531	0.802	3.49301684927298e-149	"Fibroblasts"	"SIPA1L3"
"CAMK2D.1"	2.425441460599e-153	1.15931157257614	0.791	0.342	5.75824057160809e-149	"Fibroblasts"	"CAMK2D"
"SORBS2.2"	3.82412156820251e-152	-1.3479953038072	0.147	0.51	9.07884701506959e-148	"Fibroblasts"	"SORBS2"
"UBE2E2.1"	9.79096397254175e-152	1.24390642406135	0.857	0.402	2.32447275672114e-147	"Fibroblasts"	"UBE2E2"
"IKBKB.1"	2.71206068545565e-151	-0.887840447855101	0.275	0.617	6.43870327334026e-147	"Fibroblasts"	"IKBKB"
"DLG2"	1.27421672101307e-148	1.29510723659264	0.657	0.311	3.02511791735714e-144	"Fibroblasts"	"DLG2"
"BCL2.1"	1.50738005747281e-148	-1.24430044410446	0.447	0.758	3.57867099444619e-144	"Fibroblasts"	"BCL2"
"PLAGL1"	7.75319653938198e-148	1.09822320966586	0.574	0.1	1.84068639041467e-143	"Fibroblasts"	"PLAGL1"
"FERMT2"	9.92653348536786e-148	0.790029450438307	0.568	0.169	2.35665831476118e-143	"Fibroblasts"	"FERMT2"
"PRICKLE2"	1.09398249276705e-146	1.13594750294453	0.781	0.388	2.59722383607824e-142	"Fibroblasts"	"PRICKLE2"
"DNAJC1.2"	2.01029687186239e-145	-1.28420905899404	0.621	0.738	4.7726458034885e-141	"Fibroblasts"	"DNAJC1"
"SH3RF3"	5.684458491423e-145	0.977529499462362	0.538	0.098	1.34954729044873e-140	"Fibroblasts"	"SH3RF3"
"FAM214A.1"	2.55812859802172e-144	-0.939906989313546	0.402	0.649	6.07325310456337e-140	"Fibroblasts"	"FAM214A"
"PEAK1.1"	4.92235844769646e-144	1.09557443220033	0.785	0.37	1.16861711906762e-139	"Fibroblasts"	"PEAK1"
"EBF1"	3.09252198941916e-143	1.71414243334287	0.696	0.102	7.34195645508003e-139	"Fibroblasts"	"EBF1"
"SLC16A1-AS1"	1.73901100257342e-142	0.867397158959881	0.592	0.179	4.12858602120955e-138	"Fibroblasts"	"SLC16A1-AS1"
"KCTD1.1"	5.6717810897517e-141	-0.983175995793946	0.209	0.5	1.34653754851795e-136	"Fibroblasts"	"KCTD1"
"KCNQ1OT1"	7.1075225330851e-140	1.04056379908796	0.714	0.373	1.68739692457973e-135	"Fibroblasts"	"KCNQ1OT1"
"PTPRF.1"	3.96403119931878e-139	-0.911311035766894	0.235	0.554	9.41100647030273e-135	"Fibroblasts"	"PTPRF"
"EXOC6"	6.60595147679405e-139	-0.76227295723871	0.158	0.502	1.56831894010568e-134	"Fibroblasts"	"EXOC6"
"SEPTIN9.1"	1.25653472571277e-138	-0.936805278164429	0.397	0.686	2.98313909231468e-134	"Fibroblasts"	"SEPTIN9"
"FOXN3.1"	1.62358885891541e-138	1.08162409836163	0.829	0.413	3.85456230995108e-134	"Fibroblasts"	"FOXN3"
"RAI14"	3.45450377098183e-138	1.20777340309705	0.659	0.277	8.20133740268796e-134	"Fibroblasts"	"RAI14"
"ITPR1.1"	5.59716005324121e-138	-1.12702394878843	0.356	0.618	1.32882176823999e-133	"Fibroblasts"	"ITPR1"
"LIMCH1.1"	3.70559680840317e-134	-1.28432394404379	0.358	0.63	8.79745738282997e-130	"Fibroblasts"	"LIMCH1"
"GLS.1"	3.80766149106922e-134	0.95717934696504	0.68	0.334	9.03976914594744e-130	"Fibroblasts"	"GLS"
"NR2F1-AS1"	1.14501201279342e-133	1.08355304364633	0.557	0.064	2.71837301957287e-129	"Fibroblasts"	"NR2F1-AS1"
"TIMP2"	1.2688404281886e-133	0.824545735385011	0.558	0.197	3.01235406056256e-129	"Fibroblasts"	"TIMP2"
"MTHFD1L"	2.69389295874642e-133	1.03030397761408	0.563	0.14	6.39557127335987e-129	"Fibroblasts"	"MTHFD1L"
"DNM3OS"	4.10526501598123e-132	1.09367721805113	0.527	0.018	9.74630967444104e-128	"Fibroblasts"	"DNM3OS"
"CACNA1D.1"	7.56689687069279e-132	-1.3064898394363	0.287	0.6	1.79645698607118e-127	"Fibroblasts"	"CACNA1D"
"PLXDC2.1"	1.20814399146078e-130	1.33366949755533	0.956	0.488	2.86825465012704e-126	"Fibroblasts"	"PLXDC2"
"MYO6.1"	3.24997878285559e-130	-0.957683479710668	0.442	0.694	7.71577462837746e-126	"Fibroblasts"	"MYO6"
"RERG.2"	8.81482428713615e-130	-1.11654645009993	0.223	0.604	2.09272743400899e-125	"Fibroblasts"	"RERG"
"NHS"	1.35695001201698e-129	1.16462945454555	0.668	0.238	3.22153502352952e-125	"Fibroblasts"	"NHS"
"RALGPS2.1"	1.48342952351927e-129	-0.935564521060926	0.307	0.591	3.5218100317871e-125	"Fibroblasts"	"RALGPS2"
"RASEF.1"	1.74873162957937e-128	-0.90475584879553	0.165	0.5	4.15166376178439e-124	"Fibroblasts"	"RASEF"
"TNS1"	3.4104662642735e-128	0.920738855751827	0.656	0.211	8.09678795801171e-124	"Fibroblasts"	"TNS1"
"ITPR2.1"	1.25379124307555e-127	-1.03272887592182	0.569	0.76	2.97662579018566e-123	"Fibroblasts"	"ITPR2"
"ELOVL5.2"	1.76991542150449e-127	-0.954298985574794	0.299	0.539	4.20195620219382e-123	"Fibroblasts"	"ELOVL5"
"C1orf21.1"	9.50924981860259e-126	-1.13247096922256	0.405	0.714	2.25759099943444e-121	"Fibroblasts"	"C1orf21"
"SEC24D"	2.57528624649593e-125	0.850924811023495	0.726	0.394	6.11398707780599e-121	"Fibroblasts"	"SEC24D"
"CACNA1C"	4.34382938897936e-125	1.2789810493049	0.874	0.433	1.03126853523759e-120	"Fibroblasts"	"CACNA1C"
"SVIL.1"	1.30225333582691e-124	1.13192829094476	0.812	0.486	3.09167964458666e-120	"Fibroblasts"	"SVIL"
"RBMS1.1"	2.38397961475531e-124	0.923963642012043	0.801	0.438	5.65980600339058e-120	"Fibroblasts"	"RBMS1"
"PRKCA"	3.16034703524182e-124	0.874191013962766	0.557	0.134	7.50297989636761e-120	"Fibroblasts"	"PRKCA"
"KIFAP3"	6.53649495781876e-124	0.782338380884982	0.579	0.244	1.55182926793575e-119	"Fibroblasts"	"KIFAP3"
"MITF"	1.75966282537478e-123	1.00202249466362	0.613	0.201	4.17761551372226e-119	"Fibroblasts"	"MITF"
"ZNF91.1"	1.65145423318707e-122	-0.798073550994785	0.447	0.662	3.92071749500943e-118	"Fibroblasts"	"ZNF91"
"EPB41L2.1"	2.65987939610455e-122	0.964694218412726	0.674	0.237	6.3148196742918e-118	"Fibroblasts"	"EPB41L2"
"PTPRJ"	6.17467737977795e-122	-0.987594271615694	0.252	0.549	1.46593015673308e-117	"Fibroblasts"	"PTPRJ"
"FNDC3B.1"	8.50003476629379e-120	0.991319613306653	0.938	0.78	2.01799325386581e-115	"Fibroblasts"	"FNDC3B"
"FOXO1.1"	1.22741544564917e-119	1.21999001215882	0.717	0.278	2.91400700951569e-115	"Fibroblasts"	"FOXO1"
"MIPOL1.1"	2.27346209211496e-119	-0.824536677657726	0.291	0.558	5.39742635289014e-115	"Fibroblasts"	"MIPOL1"
"WSB1.1"	3.75243876114686e-119	0.710364977693582	0.834	0.569	8.90866486283877e-115	"Fibroblasts"	"WSB1"
"RASAL2.1"	4.07111996469681e-119	1.05618346354621	0.843	0.535	9.66524590818669e-115	"Fibroblasts"	"RASAL2"
"RERE.1"	1.10222133431224e-118	-0.838388469259495	0.797	0.905	2.61678366979069e-114	"Fibroblasts"	"RERE"
"CDK14"	1.29674769290437e-118	1.02496399133783	0.829	0.464	3.07860869772427e-114	"Fibroblasts"	"CDK14"
"ATP8B1.1"	3.04988755842115e-118	-0.800271114768867	0.342	0.615	7.24073805244764e-114	"Fibroblasts"	"ATP8B1"
"EVL.2"	3.22631846308373e-118	-1.11334401206229	0.661	0.761	7.65960266320709e-114	"Fibroblasts"	"EVL"
"PLPP1"	1.93311174434515e-115	1.0893011649194	0.6	0.25	4.58940059224982e-111	"Fibroblasts"	"PLPP1"
"MICAL2"	1.97486400664329e-115	1.0994091734866	0.616	0.398	4.68852463817184e-111	"Fibroblasts"	"MICAL2"
"ARHGAP35.1"	3.0291087560325e-115	-0.734955627268213	0.279	0.559	7.19140709769675e-111	"Fibroblasts"	"ARHGAP35"
"PKP4.1"	6.96881556035209e-115	-0.906580399996097	0.465	0.689	1.65446650218319e-110	"Fibroblasts"	"PKP4"
"AKT3.1"	9.81005030941546e-115	0.948760332803124	0.787	0.228	2.32900404395832e-110	"Fibroblasts"	"AKT3"
"TBC1D8.1"	5.57233173187513e-114	-0.834292507390674	0.219	0.505	1.32292727646448e-109	"Fibroblasts"	"TBC1D8"
"LDLRAD4.1"	1.95454312295839e-113	-1.1552963971046	0.738	0.832	4.64028082821552e-109	"Fibroblasts"	"LDLRAD4"
"ZNF586.1"	7.79254575638782e-113	-0.685333037272606	0.308	0.579	1.85002828802403e-108	"Fibroblasts"	"ZNF586"
"JARID2"	1.31239322093294e-112	-0.824255586018433	0.304	0.636	3.1157527458169e-108	"Fibroblasts"	"JARID2"
"SH3RF1.1"	6.42225503999107e-112	-0.957454489084502	0.425	0.661	1.52470756904428e-107	"Fibroblasts"	"SH3RF1"
"KLF7"	4.17423515343011e-110	0.839256784302683	0.56	0.209	9.91005167775842e-106	"Fibroblasts"	"KLF7"
"RAD9A.1"	3.97098632549852e-107	-0.74482504922329	0.286	0.573	9.42751863536605e-103	"Fibroblasts"	"RAD9A"
"CD46.1"	1.23125315553159e-106	-0.672473018073582	0.357	0.6	2.92311811654754e-102	"Fibroblasts"	"CD46"
"MIR4435-2HG"	1.38846399191105e-106	0.971127116279134	0.766	0.541	3.29635236319603e-102	"Fibroblasts"	"MIR4435-2HG"
"C1QTNF3-AMACR.1"	3.97332648235331e-106	-0.823299681068381	0.383	0.618	9.43307440175499e-102	"Fibroblasts"	"C1QTNF3-AMACR"
"VIM"	1.25811612576048e-105	0.87544858431748	0.531	0.205	2.98689349416794e-101	"Fibroblasts"	"VIM"
"ENSA.1"	1.95150595503472e-105	-0.788846689171328	0.35	0.601	4.63307028784793e-101	"Fibroblasts"	"ENSA"
"BRWD1.1"	3.70575084760388e-103	-0.910597877358358	0.546	0.723	8.79782308729638e-99	"Fibroblasts"	"BRWD1"
"SYNE2.1"	2.16065282160126e-102	-0.771262067019427	0.278	0.551	5.12960586376355e-98	"Fibroblasts"	"SYNE2"
"PIK3CB"	6.86867576016737e-101	-0.572818530150838	0.263	0.528	1.63069231222134e-96	"Fibroblasts"	"PIK3CB"
"WWTR1.1"	1.20064958351706e-100	0.938167624700126	0.707	0.351	2.85046217622785e-96	"Fibroblasts"	"WWTR1"
"CNTLN"	2.09541245257513e-100	0.676026074587573	0.53	0.177	4.97471870365862e-96	"Fibroblasts"	"CNTLN"
"MEG3"	2.28295317090796e-100	1.07779442542273	0.522	0.01	5.41995912305259e-96	"Fibroblasts"	"MEG3"
"RNF213.2"	4.52950279899376e-100	-0.92262500283972	0.591	0.712	1.07534925950911e-95	"Fibroblasts"	"RNF213"
"DNAH14.1"	2.15138836015515e-98	-0.856971102896133	0.443	0.656	5.10761110584434e-94	"Fibroblasts"	"DNAH14"
"PARD3B"	6.1090357532313e-98	0.887812485732646	0.847	0.615	1.45034617817464e-93	"Fibroblasts"	"PARD3B"
"CD99"	9.11829549318493e-98	0.644188463462599	0.537	0.209	2.16477453303704e-93	"Fibroblasts"	"CD99"
"CERS6.1"	1.7330013532482e-97	-0.789674012735826	0.498	0.723	4.11431851274655e-93	"Fibroblasts"	"CERS6"
"PAM.1"	3.05246539721537e-97	0.724786584575987	0.73	0.375	7.24685809952902e-93	"Fibroblasts"	"PAM"
"SEMA5A"	7.80196428753256e-96	0.98806464417888	0.537	0.152	1.8522643415031e-91	"Fibroblasts"	"SEMA5A"
"FLNB.1"	2.17878774978879e-95	-0.786441713907457	0.417	0.673	5.17265999677357e-91	"Fibroblasts"	"FLNB"
"PBX1.1"	4.33501268651003e-94	-1.04095680047785	0.851	0.857	1.02917536190435e-89	"Fibroblasts"	"PBX1"
"PRKAG2"	5.50270934078167e-94	-0.741289835744491	0.252	0.559	1.30639822459498e-89	"Fibroblasts"	"PRKAG2"
"PLEKHG1"	1.55910556349014e-93	0.883832061094472	0.523	0.103	3.70147251828193e-89	"Fibroblasts"	"PLEKHG1"
"KIF16B.1"	1.87147357903035e-93	-0.705372056381576	0.353	0.584	4.44306542397596e-89	"Fibroblasts"	"KIF16B"
"FYN"	3.5237510068042e-93	0.800858670579562	0.539	0.114	8.36573726525385e-89	"Fibroblasts"	"FYN"
"MYO1E.1"	1.40331499931231e-92	0.996341211848302	0.739	0.34	3.33161013986736e-88	"Fibroblasts"	"MYO1E"
"EHBP1.1"	1.4113138474855e-92	0.795957797473508	0.755	0.518	3.35060020531532e-88	"Fibroblasts"	"EHBP1"
"KLF12"	2.12874642409922e-92	0.825876538529946	0.646	0.303	5.05385688545396e-88	"Fibroblasts"	"KLF12"
"ARHGAP24"	5.15099201918595e-92	0.972418082081829	0.612	0.202	1.22289701527494e-87	"Fibroblasts"	"ARHGAP24"
"ARHGAP10"	1.47786726210317e-90	0.831110558199828	0.572	0.185	3.50860466695913e-86	"Fibroblasts"	"ARHGAP10"
"SH3BGRL.1"	6.59131112642297e-90	-0.743745644390088	0.433	0.571	1.56484317452408e-85	"Fibroblasts"	"SH3BGRL"
"TEAD1"	7.08740335173265e-90	0.814854516847926	0.758	0.424	1.68262042973485e-85	"Fibroblasts"	"TEAD1"
"MRTFA"	3.14796953271267e-89	0.715340426339397	0.778	0.574	7.47359446761316e-85	"Fibroblasts"	"MRTFA"
"GSE1.1"	4.58326373021055e-89	-0.813348343070611	0.624	0.74	1.08811264218929e-84	"Fibroblasts"	"GSE1"
